Model,BLEU4_mean,BLEU4_std,ROUGE_L_mean,ROUGE_L_std,CIDEr_mean,CIDEr_std,BERTScore_mean,BERTScore_std,Caption_Length_mean,Caption_Length_std,Vocabulary_Diversity,Average_Length_Quality,Repetition_Rate,
BLIP-2,0.1553,0.2556,0.4484,0.1267,0.1847,0.0935,0.4717,0.1265,8.2667,2.7156,0.391129032,8.266666667,0.004587156,blip-2
Claude,0.0748,0.1138,0.3435,0.1188,0.0991,0.051,0.3867,0.1269,14.5333,3.1594,0.497706422,14.53333333,0.004926108,claude
ClipCap,0.0923,0.1743,0.4157,0.1262,0.1407,0.0678,0.4326,0.1341,9.6333,0.9643,0.349480969,9.633333333,0,clipcap
GPT,0.1618,0.1923,0.4479,0.1182,0.1356,0.0642,0.4742,0.1164,13.8,2.5515,0.526570048,13.8,0.002604167,gpt
